structure_id,structure_acronym,structure_name,voxRowNum,X,Y,Z
17292,r6A,r6 alar plate,48489,56,27,14
17355,r7A,r7 alar plate,48490,57,27,14
17292,r6A,r6 alar plate,48566,56,28,14
17355,r7A,r7 alar plate,48567,57,28,14
17418,r8A,r8 alar plate,48568,58,28,14
17478,r9A,r9 alar plate,48569,59,28,14
17540,r10A,r10 alar plate,48570,60,28,14
17540,r10A,r10 alar plate,48571,61,28,14
17598,r11A,r11 alar plate,48572,62,28,14
17292,r6A,r6 alar plate,48642,55,29,14
17355,r7A,r7 alar plate,48643,56,29,14
17355,r7A,r7 alar plate,48644,57,29,14
17418,r8A,r8 alar plate,48645,58,29,14
17478,r9A,r9 alar plate,48646,59,29,14
17540,r10A,r10 alar plate,48647,60,29,14
17540,r10A,r10 alar plate,48648,61,29,14
17598,r11A,r11 alar plate,48649,62,29,14
17292,r6A,r6 alar plate,48719,55,30,14
17355,r7A,r7 alar plate,48720,56,30,14
17355,r7A,r7 alar plate,48721,57,30,14
17418,r8A,r8 alar plate,48722,58,30,14
17478,r9A,r9 alar plate,48723,59,30,14
17478,r9A,r9 alar plate,48724,60,30,14
17540,r10A,r10 alar plate,48725,61,30,14
17598,r11A,r11 alar plate,48726,62,30,14
17598,r11A,r11 alar plate,48727,63,30,14
17292,r6A,r6 alar plate,48796,55,31,14
17355,r7A,r7 alar plate,48797,56,31,14
17355,r7A,r7 alar plate,48798,57,31,14
17418,r8A,r8 alar plate,48799,58,31,14
17478,r9A,r9 alar plate,48800,59,31,14
17478,r9A,r9 alar plate,48801,60,31,14
17540,r10A,r10 alar plate,48802,61,31,14
17598,r11A,r11 alar plate,48803,62,31,14
17598,r11A,r11 alar plate,48804,63,31,14
17292,r6A,r6 alar plate,48872,54,32,14
17292,r6A,r6 alar plate,48873,55,32,14
17355,r7A,r7 alar plate,48874,56,32,14
17355,r7A,r7 alar plate,48875,57,32,14
17418,r8A,r8 alar plate,48876,58,32,14
17478,r9A,r9 alar plate,48877,59,32,14
17478,r9A,r9 alar plate,48878,60,32,14
17540,r10A,r10 alar plate,48879,61,32,14
17598,r11A,r11 alar plate,48880,62,32,14
17598,r11A,r11 alar plate,48881,63,32,14
17292,r6A,r6 alar plate,48949,54,33,14
17292,r6A,r6 alar plate,48950,55,33,14
17355,r7A,r7 alar plate,48951,56,33,14
17355,r7A,r7 alar plate,48952,57,33,14
17418,r8A,r8 alar plate,48953,58,33,14
17478,r9A,r9 alar plate,48954,59,33,14
17478,r9A,r9 alar plate,48955,60,33,14
17540,r10A,r10 alar plate,48956,61,33,14
17598,r11A,r11 alar plate,48957,62,33,14
17292,r6A,r6 alar plate,49025,53,34,14
17292,r6A,r6 alar plate,49026,54,34,14
17292,r6A,r6 alar plate,49027,55,34,14
17418,r8A,r8 alar plate,49030,58,34,14
17478,r9A,r9 alar plate,49031,59,34,14
17478,r9A,r9 alar plate,49032,60,34,14
17292,r6A,r6 alar plate,51723,56,26,15
17355,r7A,r7 alar plate,51724,57,26,15
17478,r9A,r9 alar plate,51727,60,26,15
17478,r9A,r9 alar plate,51728,61,26,15
17292,r6A,r6 alar plate,51799,55,27,15
17292,r6A,r6 alar plate,51800,56,27,15
17355,r7A,r7 alar plate,51801,57,27,15
17418,r8A,r8 alar plate,51802,58,27,15
17478,r9A,r9 alar plate,51803,59,27,15
17478,r9A,r9 alar plate,51804,60,27,15
17478,r9A,r9 alar plate,51805,61,27,15
17540,r10A,r10 alar plate,51806,62,27,15
17540,r10A,r10 alar plate,51807,63,27,15
17292,r6A,r6 alar plate,51876,55,28,15
17355,r7A,r7 alar plate,51877,56,28,15
17355,r7A,r7 alar plate,51878,57,28,15
17418,r8A,r8 alar plate,51879,58,28,15
17478,r9A,r9 alar plate,51880,59,28,15
17478,r9A,r9 alar plate,51881,60,28,15
17478,r9A,r9 alar plate,51882,61,28,15
17540,r10A,r10 alar plate,51883,62,28,15
17540,r10A,r10 alar plate,51884,63,28,15
17598,r11A,r11 alar plate,51885,64,28,15
17292,r6A,r6 alar plate,51952,54,29,15
17355,r7A,r7 alar plate,51953,55,29,15
17355,r7A,r7 alar plate,51954,56,29,15
17418,r8A,r8 alar plate,51955,57,29,15
17418,r8A,r8 alar plate,51956,58,29,15
17478,r9A,r9 alar plate,51957,59,29,15
17478,r9A,r9 alar plate,51958,60,29,15
17478,r9A,r9 alar plate,51959,61,29,15
17540,r10A,r10 alar plate,51960,62,29,15
17540,r10A,r10 alar plate,51961,63,29,15
17598,r11A,r11 alar plate,51962,64,29,15
17598,r11A,r11 alar plate,51963,65,29,15
17292,r6A,r6 alar plate,52028,53,30,15
17292,r6A,r6 alar plate,52029,54,30,15
17355,r7A,r7 alar plate,52030,55,30,15
17355,r7A,r7 alar plate,52031,56,30,15
17418,r8A,r8 alar plate,52032,57,30,15
17418,r8A,r8 alar plate,52033,58,30,15
17478,r9A,r9 alar plate,52034,59,30,15
17478,r9A,r9 alar plate,52035,60,30,15
17478,r9A,r9 alar plate,52036,61,30,15
17540,r10A,r10 alar plate,52037,62,30,15
17540,r10A,r10 alar plate,52038,63,30,15
17598,r11A,r11 alar plate,52039,64,30,15
17292,r6A,r6 alar plate,52105,53,31,15
17355,r7A,r7 alar plate,52106,54,31,15
17355,r7A,r7 alar plate,52107,55,31,15
17355,r7A,r7 alar plate,52108,56,31,15
17418,r8A,r8 alar plate,52109,57,31,15
17418,r8A,r8 alar plate,52110,58,31,15
17478,r9A,r9 alar plate,52111,59,31,15
17478,r9A,r9 alar plate,52112,60,31,15
17478,r9A,r9 alar plate,52113,61,31,15
17540,r10A,r10 alar plate,52114,62,31,15
17540,r10A,r10 alar plate,52115,63,31,15
17598,r11A,r11 alar plate,52116,64,31,15
17292,r6A,r6 alar plate,52181,52,32,15
17292,r6A,r6 alar plate,52182,53,32,15
17355,r7A,r7 alar plate,52183,54,32,15
17355,r7A,r7 alar plate,52184,55,32,15
17418,r8A,r8 alar plate,52185,56,32,15
